"Term","NObs","FreqObs","Obs.Exp","pValue","PMI_Term","PMI","NPMI","Stopword"
"imitating",8,4.09098347242677e-05,8,0.039060342659225,"imitating",8.1736602456708,0.459645807956457,FALSE
"pathetic",10,5.11372934053346e-05,10,0.0117176513696851,"pathetic",7.99092787446054,0.459564537299838,FALSE
"forming",26,0.00013295696285387,5.2,0.000192090000942422,"forming",7.58551234313422,0.459544016514273,FALSE
"threshold",6,3.06823760432008e-05,Inf,0.0312488014758149,"threshold",8.32882844363076,0.459339288231935,FALSE
"grovelling",6,3.06823760432008e-05,Inf,0.0312488014758149,"grovelling",8.32303093509141,0.459312403484637,FALSE
"entrance",40,0.000204549173621339,5.71428571428571,1.06945013419355e-06,"entrance",7.4452253212227,0.459255367895082,FALSE
"tout",127,0.00064944362624775,3.02380952380952,3.94716263652544e-11,"tout",6.8894708557824,0.459181687898792,FALSE
"wore",26,0.00013295696285387,6.5,5.94404990869542e-05,"wore",7.59842741700129,0.459090120005982,FALSE
"sombre",9,4.60235640648012e-05,9,0.0214828019490736,"sombre",8.09910956093473,0.459005759164669,FALSE
"deities",13,6.6478481426935e-05,6.5,0.00738418884419522,"deities",7.92034015939317,0.458790305155339,FALSE
"resemblance",20,0.000102274586810669,6.66666666666667,0.000488108533356322,"resemblance",7.68129410268824,0.458776573854962,FALSE
"cest",57,0.000291482572410407,4.07142857142857,2.65968290895639e-07,"cest",7.23856657051047,0.45862958141936,FALSE
"cliff",11,5.62510227458681e-05,11,0.00634691468117391,"cliff",8.07286959432158,0.458609339009088,FALSE
"gallery",16,8.18196694485354e-05,8,0.00131194548176625,"gallery",7.81770361834834,0.458325193835329,FALSE
"terrible",40,0.000204549173621339,4.44444444444444,9.25235443706443e-06,"terrible",7.37561156218006,0.45831787831325,FALSE
"dwarf",8,4.09098347242677e-05,8,0.039060342659225,"dwarf",8.11747082882768,0.458122260473265,FALSE
"divert",18,9.20471281296024e-05,6,0.001489230687446,"divert",7.73205817538036,0.457985504478591,FALSE
