Term,NObs,FreqObs,Obs.Exp,pValue,PMI_Term,PMI,NPMI,Stopword
saying,184,4.95E-05,0.45320197,3.27E-20,saying,5.019720984,0.342233152,FALSE
corruption,82,2.20E-05,0.625954198,0.000960597,corruption,5.306196042,0.342154255,FALSE
quibus,70,1.88E-05,0.636363636,0.003532806,quibus,5.350570765,0.342096602,FALSE
urged,70,1.88E-05,0.608695652,0.001157858,urged,5.338941718,0.342057288,FALSE
formidable,50,1.34E-05,0.666666667,0.031407915,formidable,5.446218122,0.34199848,FALSE
righteous,88,2.37E-05,0.571428571,2.64E-05,righteous,5.263191196,0.34197434,FALSE
keeps,61,1.64E-05,0.655913978,0.012236156,keeps,5.392174854,0.341930366,FALSE
try,129,3.47E-05,0.507874016,1.63E-10,try,5.135204963,0.341862359,FALSE
pardon,150,4.03E-05,0.46728972,2.35E-15,pardon,5.075182053,0.341838019,FALSE
ire,112,3.01E-05,0.535885167,6.73E-08,ire,5.183809856,0.341792065,FALSE
reign,225,6.05E-05,0.413602941,2.55E-31,reign,4.939934913,0.341759443,FALSE
destroyed,88,2.37E-05,0.594594595,0.00011352,destroyed,5.270098712,0.341626988,FALSE
parents,128,3.44E-05,0.509960159,2.59E-10,parents,5.13593569,0.34162642,FALSE
small,309,8.31E-05,0.382425743,5.85E-52,small,4.836679916,0.341527597,FALSE
adding,56,1.51E-05,0.602150538,0.003054182,adding,5.385974257,0.341513439,FALSE
xii,100,2.69E-05,0.540540541,5.40E-07,xii,5.20985896,0.341345619,FALSE
fight,97,2.61E-05,0.521505376,1.34E-07,fight,5.208660749,0.341340753,FALSE
ice,92,2.47E-05,0.531791908,7.37E-07,ice,5.226706048,0.341283836,FALSE
pains,150,4.03E-05,0.533807829,2.79E-10,pains,5.101254087,0.341115517,FALSE
lot,103,2.77E-05,0.569060773,4.29E-06,lot,5.212407269,0.341050915,FALSE
sooner,118,3.17E-05,0.493723849,1.44E-10,sooner,5.141019783,0.341016788,FALSE
lb,117,3.14E-05,0.481481481,2.82E-11,lb,5.135701481,0.34091008,FALSE
